l_english:
 ###ETH FLAVOR EVENTS###
 flavor_eth.29.t:0 "The Itinerant Capital of [Root.GetName]"
 zim_zanzibar_greatest_market_at:0 "Either the §YCape of Good Hope§!, §YZanzibar§! or §YGulf of Aden§! is the highest valued trade node in the world and §Y[Root.GetName]§! is the strongest Trade Power in said trade node."
 zim_zanzibar_greatest_market_bt:1 "§Y[Root.GetName]§! is either the strongest Trade Power or has at least §Y10%§! Trade Power in either §YGujarat§!, §YCoromandel§! or §YMalacca§!."
 zim_cults_title:0 "The Мварі Belief"
 zim_cults_desc:1 "Although the Mwenemutapa is the divine ruler of our religion and our state, [Root.GetSheHe] still is an obedient to the almighty Мварі. A being who rules over the spirits of our ancestors, and a deity of creation, fortune and many more aspects. It is necessary that we honor its name with temples."
 zim_council_title:0 "Balance the Council"
 zim_council_desc:1 "Our realm has an operating council, which advises the [Root.Monarch.GetTitle] at [Root.Monarch.GetHerHis] decisions. These so-called ministers have major power in the local areas of our [Root.GovernmentName] such as making judicial decisions. They are also important members of former tribes, which decided to join us instead of fighting. We should ensure their happiness within the royal court."
 zim_reform_army_title:0 "Reform the Military"
 zim_reform_army_desc:2 "According to the oral legends of our people, our realm was founded by the first Mwene, the warrior prince Nyatsimba Mutota. He established the first steps for a mighty army.\nWe cannot rest on the success of one Mwene in the past though. Instead we should improve the troops even further to achieve security for the [Root.GovernmentName]."
 zim_conquer_north_title:0 "Iron and Cloth"
 zim_conquer_north_desc:1 "Although gold is a very precious metal and ivory is highly sought after, they both are not good material for forging weaponry or tailoring distinctable soldier outfits. The provinces Kalonga and Lundu have the materials we are looking for. We should take them for ourselves and use their resources for our goals."
 zim_discover_the_cape_title:0 "Uncover the South"
 zim_discover_the_cape_desc:1 "It has always been a mystery what exactly hides in the south of our realm. We should start an expedition southwards and see what hides in the plains of the south."
 zim_annex_vassals_title:0 "Handle the Torwa"
 zim_annex_vassals_desc:0 "The Torwa dynasty is a relic of the old Zimbabwe empire and has become our subject after we replaced the old realm. While their quality of troops is unmatched, their loyalty to the [Root.Monarch.GetTitle] is questionable at times. It is time to integrate them into our state properly."
 zim_annex_vassals_ct:0 "The §YButua Warriors§! will become a unique mercenary unit available only to [Root.GetName]."
 zim_strong_rulership_title:0 "Strong Rulership"
 zim_strong_rulership_desc:0 "Our [Root.Monarch.GetTitle] represents our state and our religion. [Root.GetSheHeCap] is the epicenter of our society and as such only deserves only the best around [Root.Monarch.GetHerHim]."
 zim_dominate_south_africa_title:1 "Control Southern Africa"
 zim_dominate_south_africa_desc:0 "The plains to our south are uncontested and as such are our rightful claim. We should ensure that we make these claims reality."
 zim_amongst_the_great_powers_title:0 "Great Power of Africa"
 zim_amongst_the_great_powers_desc:0 "The world is shrinking as foreigners from the North try to expand their influence globally. We must become one of the great players of the world to ensure that our own state does not fall to obscurity and become the next target of the Europeans."
 zim_amongst_the_great_powers_tt:0 "This Power Projection is §Ypermanent§!."
 zim_modernize_state_title:0 "Modernize the State"
 zim_modernize_state_desc:1 "Ever since our foundation our people have worshipped the Mwenemutapa as the image of Мварі, the deity of our Zimbabwe. With the arrival of the strangers from the North, a new world image has entered the head of the people. One where the Mwenemutapa would be a subject to our god. Or another one where the people would actually rule over [Root.GetName].\nHowever, thoughts alone cannot modernize a state. We need the technology and knowledge in order to change the basics of our government for the better of our people."
 ###AJU MISSIONS###
 aju_annex_mogadishu_title:0 "Анексувати Могадішо"
 aju_annex_mogadishu_desc:0 "Mogadishu is the pearl of the Horn of Africa. The city is a splendid trade center, attracting merchants from all of the Arab and Indian world. It is time to integrate this beautiful city and use its influence to our benefit."
 aju_gold_minting_title:0 "Gain Gold Access"
 aju_gold_minting_desc:1 "Mogadishu minted its own coins, which helped with the centralization of its commercial hegemony. While there are already coins in circulation in Arabia and India, the number of them is too small to have a major impact. We should gain access to a good source of gold to mint more coins so we can influence the economies of these important regions."
 aju_gold_minting_ct:0 "If the mission gets completed while [Root.GetName] owns or have a subject own at least §Y1§! gold province then [Root.GetName] will receive §G4 years§! worth of gold income from this one gold province.\nIf [Root.GetName] finishes this mission diplomatically instead the ally with the gold access will receive the event '§YGold Deal with [Root.GetName]§!'."
 aju_the_mamluk_soldiers_tt:0 "[Root.GetName] hired the §YMamluk Soldiers§! Mercenary Company."
 aju_invent_istunka_tt:0 "Have at least §Y20 Infantry§! regiments stationed in the province §Y[2776.GetName]§!."
 aju_indian_trade_ct:0 "Every country with at least §Y5%§! Trade Power in any §YIndian§! Trade Node receives the event '§YThe Coins of [Root.GetName]§!'."
 AJU_INDIAN_MERCHANTS:0 "Ajuuraan Merchants in India"
 AJU_JAVA_MERCHANTS:0 "Ajuuraan Merchants in Java"
 aju_invent_istunka_ct:0 "[2776.GetName] gets the triggered province modifier §YДім Істунки§! до кінця гри, що матиме такі ефекти:\nГлобальні заворушення: §G-1.00§!\nМісцева ціна розвитку: §G-5.0%§!"
 aju_oromo_invasion_tt:0 "The event '§YThe Oromo§!' fired §Y10 years§! ago."
 aju_unite_the_clans_tt:0 "Every §YSomali§! province gets the province modifier '§YUnited Clans§!' на §Y25 років§!, що матиме такі ефекти:\nМісцеві заворушення: §G-4.00§!\nЧисло місцевих рекрутів: §G+10.0%§!\nПрибуток від податків у провінції: §G+10.0%§!\nМісцева ефективність виробництва: §G+10.0%§!"
 aju_indian_trade_title:0 "Trade with India"
 aju_indian_trade_desc:0 "The region of India is full of riches untapped by any of our neighbors. If we managed to establish a trading presence there we might be able to reap unthinkable benefits."
 aju_chinese_trade_company_title:0 "Trade with the Dragon"
 aju_chinese_trade_company_desc:0 "After the Indian market, the next logical step is to tap into the Chinese one. From there we can obtain riches and goods even more exotic and profitable than before. We must also establish ourselves there."
 aju_castle_builders_title:0 "Fortify [Root.Capital.GetName]"
 aju_castle_builders_desc:0 "Our capital is the center of our power and as such the most vital part of our country. We must fortify it to strengthen its defense and ensure that it never falls into enemy hands."
 aju_hydraulic_expertise_title:0 "Hydraulic Expertise"
 aju_hydraulic_expertise_desc:1 "Food and water are the most important thing for the survival of a population, and that in turn is the basis of any country. We must develop and expand our irrigation infrastructure to be able to control and increase both."
 aju_maldives_dynasty_title:0 "Повернути Мальдіви"
 aju_maldives_dynasty_desc:0 "Although we had established a presence in the Maldives, we lost control over it after some traitorous members of our family broke away from us. It is time we retake what is ours."
 aju_invent_istunka_title:0 "Develop Istunka"
 aju_invent_istunka_desc:0 "Our warriors have always been proud of themselves, and we should too. By organizing a festival in which they can show their prowess in battle all of our people would be equally proud of them."
 aju_merchants_in_dai_viet_title:0 "Vietnamese Trade"
 aju_merchants_in_dai_viet_desc:0 "After India, expanding ourselves into Vietnam and Indochina in a logical development. Not only could we be able to get access to even more riches there, but it will also allow us to control the trade that's coming from China and beyond."
