l_ukrainian:
 nw_native_ideas:0 "Ідеї тубільців Північного Заходу"
 estate_regency_events.6.d:1 "Ніхто не здивується, якщо скажуть, що кожна релігійна сила завжди намагатиметься увічнити свою владу або утвердити своє панування над рештою, коли вони правлять. І саме з такою ситуацією стикається [Root.GetName]. Керівне духовенство використовує свою владу, щоб усунути вплив інших релігій в нашій державі, а їхня влада занадто велика, щоб від неї відмовитися. Боязкий протест – це все, що нам вдалося підняти. Безсумнівно, ми змінимо цю політику в майбутньому, але наразі нам доведеться з цим жити."
 estate_regency_events.6.a:0 "Одну проблему за раз."
 religious_intolerance_mod:0 "Релігійна нетерпимість"
 desc_religious_intolerance_mod:0 "Почалася нова хвиля нетерпимості до тих, хто не сповідує державну релігію."
 religious_intolerance_tooltip:1 "Доки §Y[Root.Heir.GetName]§! не зійде на трон, усі релігії в державі, окрім §Y[Root.Religion.ReligionAdjectiveKOJI]§!, переслідуватимуться."
 estate_regency_events.7.t:0 "Наш регент – лояліст"
 estate_regency_events.7.d:0 "Хоча ми завжди чекаємо, що ті, хто стоїть на чолі регентства, будуть лояльними до Корони та держави, нас цілком задовольняє, якщо вони не зловживають своїм становищем або стають прямо нелояльні та намагаються захопити владу, як тільки вони посядуть керівні пости. [Root.Monarch.GetName] є винятком із правил. Лояльн[Root.GetMEndAYJ] та добре вихован[Root.GetMEndAYJ], [Root.GetMJOGO] висунення від [Root.GetMJOGO] фракції стало найкращою новиною за кілька місяців, і тепер ми очікуємо від н[Root.GetMEndEJijogo] тільки найкращого."
 estate_regency_events.7.a:0 "Хоч раз гарні новини!"
 loyalist_leader_mod:0 "Лоялістський лідер"
 desc_loyalist_leader_mod:0 "Регент вірний короні."
 estate_regency_mod_desc_tt:0 "доки наш[Root.GetHEndA] §Yспадкоєм[Root.GetHEndYcia]§! не зійде на трон"
 loyalist_leader_tooltip:2 "Доки §Y[Root.Heir.GetName]§! не зійде на трон, [Root.Monarch.GetTitleKHTO] §Y[Root.Monarch.GetName]§! буде вірн[Root.GetMEndAYJ] короні."
 estate_regency_events.8.t:0 "Миготливі тіні"
 estate_regency_events.8.d:0 "Попри свою могутність, [Root.Monarch.GetName] і [Root.GetMJOGO] фракція не задоволені як поводяться спадкоєм[Root.GetHEndYcia] і [Root.Heir.GetHerHis] оточення. Лунають голоси, які стверджують, що вони замишляють щось жахливе. Ми поставили це питання [Root.Monarch.GetTitleOMU] та [Root.GetMSheHe] палко відкину[Root.GetMEndVLa] звинувачення. У палаці ніколи не буває спокою, а інтриги ховаються за кожним рогом."
 estate_regency_events.8.a:0 "У нас є передчуття, що щось не так."
 estate_regency_events.9.t:0 "Регент добре впливає"
 estate_regency_events.9.d:1 "Коли хороші чоловіки та жінки більше віддані добробуту держави, ніж власним інтересам, робляться великі справи. Протягом кількох місяців регент витрачав багато часу, щоб поділитися своєю мудрістю з [Root.Heir.GetTitleHeirKYM] і обидва насолоджувалися цим часом. Підготовка до сходження на престол ніколи не буває легкою, але [Root.Monarch.GetName] викона[Root.GetMEndVLa] величезну роботу. Лектори з наук, етикету, історії, військовим тактикам виходили весь палац вздовж і поперек, слідуючи за регентом і спадкоємцем, куди б вони не йшли."
 estate_regency_events.9.a:0 "[Root.Heir.GetName] дізна[Root.Heir.GetHEndVSia] так багато!"
 estate_regency_events.10.t:0 "Спроба державного перевороту проти консорта"
 estate_regency_events.10.d:0 "Як кричуща таємниця, звідусіль лунають голоси про нещастя, що переслідують одну фракцію в нашій державі. Згідно з цими голосами, вони незадоволені консортом-регентом і замишляють переворот, щоб скинути [Root.Monarch.GetHerHim] і посадити на чолі свою людину. Якщо вони переможуть, королівську династію може бути вбито, тому поки ми не покінчимо з цією змовою і не ув'язнимо всіх інтриганів, консорт і вся королівська сім'я в цілому будуть в жахливій небезпеці."
